title,price,link,condition,shipping,location,offer_type,review_rating,review_count
Steel CNC 5axis 3040 Router Engraver Milling Mach3 Servo Motor Cutting Carving,"$7,200.00",https://www.ebay.com/itm/334569405439?_skw=cnc+machine&itmmeta=01K2KQF2ZHQ2ZMVK8E3579MR2Y&hash=item4de5e3fbff:g:-MUAAOSwUYJjLSYk&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fGoU%2BOjEbtN%2B4W%2FEmZb4kI0bvRWlYoeb9lqCOgTLJEnQvKLuE5N1z97%2F3TuZHBYmX08XXHJvrg4rgLAv7UM7qC16yPQZSnisoesc3ffnwUS5Bb7yox9pJfKEoKGpjNSnKYxHD9NWEXkF7qmWCtD4xHcVelKhO7EjoBIJqQwLDg4LyvH1Be76gXbgO8xgBBz8Sdqbxp2I916UJhQRXn%2FMUNtlaWIQWjNrVDAIV%2BRh3PH0dLFC88UJB9C9hsFBjIct0hOa6ToVjF9zcON2WR7UjLVj2q%2FtiT6VWfurJ2dSkN5g%3D%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,0,Located in China,or Best Offer,0,0
5Axis CNC 6040 Router 2200W CNC Cutting Milling Engraving Mach3 Machine US 110V,"$2,899.00",https://www.ebay.com/itm/403782354875?_skw=cnc+machine&itmmeta=01K2KQF2ZHYSH2YTAE3404367R&hash=item5e034dc7bb:g:UiMAAOSwN4Zi1Nhe&itmprp=enc%3AAQAKAAAA0FkggFvd1GGDu0w3yXCmi1frqRemVXsEZGU4KZBAxriJj2gWWVv4LxRBsvX7VgtaAXLvAZpFKAEwiInK4WfWi9Mqbhgi85KRt17mRJ%2FzDFzdJormNiRSn2%2BWih%2Bxj2i6r%2FU2xXP%2BbttpLkaenjgLmb%2F9J6ewMjf8KLFMeTde%2FB49Bwbb67rLjFgDfROctIWwXknVP%2Fs0aN1KAFjSI0%2Btslmc8ss09SBxUYH0NZ4G85CClw0p5XTPTbtcjU2S7llQRKJWn2QNM6mRvPCca7pT6%2BQ%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,0,Located in China,or Best Offer,0,0
2.2KW CNC Router Milling Engraving Machine 6090 4-Axis Cutting &Handwheel &Sink,"$2,750.00",https://www.ebay.com/itm/334928536083?_skw=cnc+machine&itmmeta=01K2KQF2ZHJPA0X2TQN55PS7VZ&hash=item4dfb4be213:g:54EAAOSwAvhkm4wz&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1fFRSJxgbdLM8MpoHa6E5bsjyb6vHU1jWwspAXs765%2FCWCi84S6tQoJ1LH0m7wN0ZbZa9QQ83RERYGJHvoVMUMxKztfFojIR0A%2FgyIYcHEgPDubV7k%2FOmEYbXHq24T1QyaMtUmByCTNNh5S9QcRkkGpx76hYJGC3NvdJ7OM4e%2BC8AakYN4mtvVzMvwlZLmGHx5mxCzDOnUSXirOMfSAt86XqhiNscR9l7Tyvvwloqr%2BxogOBiD9Ik3xrI0kcUaWU3eR09zOorO3VjdXcZ%2FLnrgsSFwCMuvs03z%2BtSpiMZf8Kg%3D%3D%7Ctkp%3ABk9SR6ywvPeUZg,Brand New,0,Located in China,or Best Offer,0,0
Raycus 2000W Fiber laser Welder/Clean/Cutter/Solder Machine Laser CNC Welding CE,"$4,999.99",https://www.ebay.com/itm/135159017662?_skw=cnc+machine&itmmeta=01K2KQF2ZH4ESRBNBG7TJCZ57Z&hash=item1f781af0be:g:o6YAAOSwWo1l4mwn&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1fNvEJn5MVKaqA2%2F3JE1vHIUUBdaiCNtN32rgV1IsY8jX0bNlBXx2L79JRHVQRYVXz79S2d6u9aM0vrPMqjBqsozgqCkTet%2BiCplzW1NtCllmHNAeFUYlaUIBx51KTIoM2o4t8auqLyo7D38A5d%2BzPPN41w3ISKUqRxpylM3IUnMcrX57nhhGHTnBEORTJnsqTvcFeCF5XJG3ibo4%2BQ7%2FNC%2B5Bldn6lAGa49UPqBDTzDw%3D%3D%7Ctkp%3ABlBMUKywvPeUZg,Brand New,0,Located in China,or Best Offer,0,0
FANUC CNC SIMULATOR A02B-0158-B100 SLIGHTLY USED,"$4,500.00",https://www.ebay.com/itm/186886059400?_skw=cnc+machine&itmmeta=01K2KQF2ZHBPC2BVH5MAC1AAR9&hash=item2b8346f588:g:lQ8AAOSww6BngSMr&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ewmkTPC%2F9wvflAetBhunCzZCMVvOMwDRhS31iaCGSH8UZIKCX%2FhajkPVZR5NX2FnqIC%2F10dEppCVU9R2yYlSweG4jsIH%2B%2BZy8C6E7jsI%2BetyJGN%2Bq1lKLIBzX2LeotnXb6etlxcmW0z1mPG%2FZ8uj0gPrLSAQWC7vTmOvdyrZzRmBAXiZqwRx0MuY5YIJnuRNcxepXDaY%2BnIF4MVVJiqeyjLQJWfTp7GmVvSrU1%2FPyJLw%3D%3D%7Ctkp%3ABlBMUK6wvPeUZg,Pre-Owned,2449.67,Located in United States,or Best Offer,0,0
Mini CNC 3018-SE V2 Router Machine Engraver with Transparent Enclosure + Spindle,$177.66,https://www.ebay.com/itm/226446947109?_skw=cnc+machine&itmmeta=01K2KQF2ZHAA4K9X234G3407YM&hash=item34b94a3325:g:uVQAAOSw~VZjVmb5&itmprp=enc%3AAQAKAAAAwFkggFvd1GGDu0w3yXCmi1ctO7bEU0Er0nDo3UXW6nmVTgW0Ug3%2BBOQUYaAD9Hqps1%2BewQLJWHd6tY%2BzJLOqrsy855w0KrjpiPpmRusmW5YBqfMgXy8ltFpvka1mNZqkunUqc9OPZWQdNw9CRbC5wGTLKwtkiTESLo%2BWDMq1mQ2iYWRQRe9Xef%2FF7h9M8RnTtAYZTX00tRO6Uma8MypjVMlUA%2BcnW5B1hlN0jdss6j0LY%2FF1sltJ001kSe56DSLZpw%3D%3D%7Ctkp%3ABlBMUK6wvPeUZg,Brand New,137.78,Located in United States,or Best Offer,0,0
New Listing Upgrade Version CNC 30*18 PRO GRBL Control DIY Mini CNC Machine 3 Axis Pcb GMID,$406.16,https://www.ebay.com/itm/136314487630?_skw=cnc+machine&itmmeta=01K2KQF2ZH8TQB38RF6WE7KJYF&hash=item1fbcfa034e:g:YRgAAeSwf2xonY3z&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eAhHYN585JAiyfjerTGU5R2xD2hlC7PrAgCCq1GAAieF4yvKyMNmSpdSt5P7gfFLXBpyapYXrnZau71bKnSoK3GfotrJJUm3o9P3UZrfVQS6ihAI8YZZTcbEXn4dvA3i%2F7oMoPn4kqBG90L3EiQp2SLMTgRdf54KiLw96L1xcvzqAvORXTCf0BlzDyUaMw7BEwKvhlwyTwL8B5AiXwTRZKc%2BJt1z%2BDMyknW5t7ye%2B4s7r%2Bg1LIlEzvAkAE0%2F5y%2FVfoORdojE9GYMk0IgB4Oo3QTibz3axLChvaopy1v1fC5g%3D%3D%7Ctkp%3ABk9SR66wvPeUZg,Brand New,0,Located in China,or Best Offer,0,0
New Listing USB 3 Axis CNC 4040 Router Engraving Machine Engraver Milling Machine GRBL 500W,$345.73,https://www.ebay.com/itm/127307716581?_skw=cnc+machine&itmmeta=01K2KQF2ZHQJEHWFDVJWJFT37T&hash=item1da42197e5:g:~TcAAOSw5zBnWp38&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1d8lTJIRY66PTOkrbJwuLKZU6UpP9RfxG5lL9kucra2WztRd%2B0NMU2i1CPyEHp7CrfVe%2FjEhjOBTW%2F5DF0pq80WV5lohnXx2%2B9dAWH8CCdM12T33009Fz02L%2BUE3Py%2Fa64bAB9zAZ8wAJ0ToBFlIbASOKChQYUpKo%2Bw6bJzm1x3YbHnY1xhrMegUEEs7%2FdCelSBWO9jIeYxCs18yZiY%2BH6P6zBBxlnPtZ3%2Fe7YHiVICP1kN7Ob5I%2B933fA2rEFO1SKJfvCDTiE1JOCP7XDea6jFtiuWdN70unX1rG%2F%2BXKSEPg%3D%3D%7Ctkp%3ABk9SR66wvPeUZg,Brand New,235.77,Located in United States,N/A,0,0
6040 5axis CNC 1500W Router Engraving Machine Metal Copper MillingCuttin Machine,"$3,150.00",https://www.ebay.com/itm/173723418924?_skw=cnc+machine&itmmeta=01K2KQF2ZHHETNH5CECVHJGFEX&hash=item2872b9012c:g:BqsAAOSwEKxcOVq-&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1eRxJsdSD3NzI1beQfJiJAdNM5Q0Y6X6%2FUmIgVq6FK0Ek9Uhrr1rDev6ch7S2s6JNbYXX%2FFbMPjKgEu%2BjbnkZvwscA5tzR8nIVLmpRqPtHuzePT23FUFYE0Ip3bUOmDbFUxm1LCGE1LGBnAi5TD1qBGMBUxQcrrhPUwdazN%2BU7pT8RWv%2FWXshUcXFpOP4EtWldiUCR%2Bw1uQ%2BWupF3vjjntbL58%2FVq7y3gWlKwu0AdhK3c62M87kTHbX%2FQ%2Fud37K3fhQX%2FikT2eMfhbmhUhqUVRAm5dq7fK0M8tyEjmbtENnOw%3D%3D%7Ctkp%3ABk9SR66wvPeUZg,Brand New,0,Located in United States,or Best Offer,0,0
4Axis CNC 6040 Router Engraver Mcah 3 USB 2200W Drilling Engraving DIY Machine,"$2,353.58",https://www.ebay.com/itm/173729899628?_skw=cnc+machine&itmmeta=01K2KQF2ZH4BEVPA2PK353JG9R&hash=item28731be46c:g:p-wAAOSw6X1cNGn~&itmprp=enc%3AAQAKAAAA8FkggFvd1GGDu0w3yXCmi1e0%2FUUh0fJyqb8tcziI1eqMeyQSgiELN11soCeSrMjF7HvBWQ4OwqYg8Gdz6bMZuSZMJkAciTd%2BVDBG3KZvLsvGnn8PkB8ohkeImoXzeurqFrI0SAlosaCjlQHas3OivLORmpWjGb%2F50vfjaQTgTrIqyohXsbxPqxcmy4FYawd7683C5z2gWe0%2FvjH%2BsN8eamFqVUUX90TwOyC7JaCVcn2AzJc74YX7nm24X4KvPAhx4Vq0D%2BVxMSZDaejVLZoC0pDD9TUKE6Uu3zrUtvjwOOWnDM2OTd8LKBEtq7gCveIWwA%3D%3D%7Ctkp%3ABk9SR66wvPeUZg,Brand New,0,Located in China,or Best Offer,0,0
